check accuracy 0.1
[0.3181907  0.07625144 0.4769476  0.12861022]
[1. 0. 0. 0.]
[0.44029787 0.06904975 0.25200087 0.23865144]
[0. 0. 0. 1.]
[0.43971217 0.07098801 0.26652798 0.22277182]
[0. 0. 0. 1.]
[0.35535762 0.07710211 0.42399684 0.14354332]
[0. 1. 0. 0.]
[0.46703187 0.06559794 0.20350288 0.2638673 ]
[0. 0. 0. 1.]
[0.43811128 0.07012334 0.2647083  0.22705701]
[0. 0. 1. 0.]
[0.08573108 0.03405234 0.8483954  0.03182124]
[0. 1. 0. 0.]
[0.41740224 0.07001532 0.29665002 0.21593249]
[0. 1. 0. 0.]
[0.23715039 0.07208653 0.598909   0.09185407]
[0. 1. 0. 0.]
[0.28698865 0.07680381 0.52763486 0.10857266]
[0. 0. 0. 1.]
[0.38319692 0.07243937 0.36999014 0.17437352]
[0. 0. 1. 0.]
[0.15861082 0.07173627 0.7064876  0.06316531]
[0. 1. 0. 0.]
[0.10048636 0.04696751 0.81712365 0.03542247]
[0. 1. 0. 0.]
[0.46896574 0.06477182 0.19326258 0.27299982]
[0. 0. 0. 1.]
[0.05137422 0.0195126  0.9132381  0.01587499]
[0. 1. 0. 0.]
[0.47337076 0.06266483 0.17536917 0.28859523]
[0. 0. 0. 1.]
[0.36446095 0.07501813 0.40606296 0.15445796]
[0. 0. 1. 0.]
[0.45679337 0.06756406 0.22554544 0.25009716]
[0. 0. 1. 0.]
[0.2815855  0.06716783 0.5310032  0.12024342]
[0. 0. 0. 1.]
[0.4525161  0.06794854 0.23140036 0.24813502]
[1. 0. 0. 0.]
check accuracy 0.2
[0.4499204  0.06720746 0.23382618 0.249046  ]
[0. 0. 1. 0.]
[0.45814353 0.0677048  0.22164965 0.25250205]
[0. 0. 1. 0.]
[0.3613901  0.07157657 0.39523953 0.1717939 ]
[1. 0. 0. 0.]
[0.39743748 0.07233945 0.3413647  0.18885837]
[1. 0. 0. 0.]
[0.4704976  0.06430679 0.19164975 0.27354592]
[0. 0. 0. 1.]
[0.32795638 0.07304391 0.4659965  0.13300319]
[0. 1. 0. 0.]
[0.305526   0.07844634 0.49910086 0.11692676]
[1. 0. 0. 0.]
[0.45351553 0.0681996  0.23198104 0.24630386]
[0. 0. 1. 0.]
[0.4588308  0.06744398 0.21744639 0.25627878]
[0. 0. 0. 1.]
[0.46880728 0.06438635 0.19347574 0.2733306 ]
[1. 0. 0. 0.]
[0.4481161  0.06887526 0.25171438 0.23129416]
[0. 0. 0. 1.]
[0.45638907 0.0671057  0.22460286 0.25190234]
[0. 0. 1. 0.]
[0.45085034 0.06572446 0.224522   0.25890318]
[0. 0. 0. 1.]
[0.07702238 0.03152457 0.86621016 0.0252429 ]
[0. 1. 0. 0.]
[0.46536902 0.06554597 0.19725424 0.27183077]
[0. 0. 0. 1.]
[0.05965063 0.0255678  0.89677864 0.01800289]
[0. 1. 0. 0.]
[0.07584937 0.03026401 0.86662155 0.02726514]
[0. 1. 0. 0.]
